oncotree_2025_10_03	oncotree_2026_05_21
MYEC	MYEC
BRCA	BRCA
UESL	UESL
PSEC	PSEC
VDYS	VDYS
EPDCA	EPDCA
NECNOS	NECNOS
SARCL	SARCL
DESM	DESM
PAMPCA	PAMPCA
DPHGG	DPHGG
CESC	CESC
PLEURA	PLEURA
MNGT	MNGT
UMNC	UMNC
OCS	OCS
HGGNOS	HGGNOS
ERMS	ERMS
ACN	ACN
ETMF	ETMF
EMPD	EMPD
MSCC	MSCC
SPDAC	SPDAC
HCL-V	HCL-V
PANET	PANET
HNMUCM	HNMUCM
SCT	SCT
MDSU	SBL
PCNSMT	PCNSMT
PTCA	PTCA
MDS	MDS
SRCC	SRCC
AMBLNOS	AMBLNOS
MIDD	MIDD
MYCF	MYCF
UPA	UPA
HL	HL
GINET	GINET
SKAC	SKAC
PXA	PXA
NETNOS	NETNOS
CHM	CHM
MDSMPNRST	MDSMPNRST
LMS	LMS
UCS	UCS
HGNEC	HGNEC
ENKL	ENKL
SNA	SNA
MACR	MACR
SELT	SELT
AGA	AGA
RDD	RDD
SMN	SMN
VOEC	VOEC
SNSC	SNSC
ACCC	ACCC
AMLGATA2MECOM	SBL
FA	FA
IPMN	IPMN
HNSCUP	HNSCUP
ECD	ECD
LYP	LYP
SCLC	SCLC
STAS	STAS
BLLIL3IGH	BLLIL3IGH
SKIN	SKIN
MNET	MNET
UDDC	UDDC
LGCOS	LGCOS
CCS	CCS
CEVG	CEVG
MLNFGFR1	MLNFGFR1
PPTLD	PPTLD
AMBLNWSG3	AMBLNWSG3
CMML0	SBL
DDCHDM	DDCHDM
PSC	PSC
AWDNET	AWDNET
TAM	TAM
BRAIN	BRAIN
AMPULLA_OF_VATER	AMPULLA_OF_VATER
CCE	CCE
LATL	LATL
CAEXPA	CAEXPA
LPL	LPL
PAASC	PAASC
CACC	CACC
EMBC	EMBC
BIMT	BIMT
SPCC	SPCC
MPALBCRABL1	MPALBCRABL1
OUTT	OUTT
PANEC	PANEC
HCCIHCH	HCCIHCH
GMN	GMN
MBLWNT	MBLWNT
ETPLL	ETPLL
SSM	SSM
EMYOCA	EMYOCA
DNT	DNT
ALCL	ALCL
ALT	ALT
ACA	ACA
CMPT	CMPT
SKCN	SKCN
SPZM	SPZM
AMBLNWS	AMBLNWS
AMLMRC	AMLMRC
THYM	THYM
BLPT	BLPT
TSTAD	TSTAD
HGSFT	HGSFT
MLNPCM1JAK2	MLNPCM1JAK2
PRSCC	PRSCC
MBENSHH	MBENSHH
EMBT	EMBT
GINETES	GINETES
OSMBT	OSMBT
VGCT	VGCT
IUP	IUP
ACYC	ACYC
SPIR	SPIR
BCCP	BCCP
ISTAD	ISTAD
AMLRGA	AMLRGA
MPC	MPC
MCC	MCC
TSCST	TSCST
TMESO	TMESO
CEMN	CEMN
PEMESO	PEMESO
RBL	RBL
OMT	OMT
CPP	CPP
GBAD	GBAD
BLADDER	BLADDER
TYST	TYST
PHM	PHM
AMLBCRABL1	AMLBCRABL1
BCLU	BCLU
SPTCL	SPTCL
CERVIX	CERVIX
HPHSC	HPHSC
PSTAD	PSTAD
PHPTLD	PHPTLD
PLRMS	PLRMS
BTMOV	BTMOV
HHV8DLBCL	HHV8DLBCL
URMM	URMM
MYXO	MYXO
NHL	SBL
MBLNOS	MBLNOS
CSCHW	CSCHW
SYNS	SYNS
UA	UA
MCCHL	MCCHL
STMYEC	STMYEC
MNM	MNM
BRCANOS	BRCANOS
CCRCC	CCRCC
PRNET	PRNET
LUAS	LUAS
ANKL	ANKL
VMM	VMM
RHM	RHM
PTLD	PTLD
VSC	VSC
HNNE	HNNE
DIA	DIA
GCTB	GCTB
VYST	VYST
CESE	CESE
MBEN	MBEN
NVRINT	NVRINT
BLLNOS	BLLNOS
MRT	MRT
VIMT	VIMT
CM	CM
LCS	LCS
