MBEN	C5407	C1334970
OAST	C4050	C0280793
THYM	C3411	C0040100
DES	C9182	C0079218
PAASC	C5721	C1335299
SNSC	C54287	C0334270
THFO	C8054	C0206682
ALCL	C3720	C0206180
PECOMA	C38150	C1300127
BRCA	C9245	C0853879
UUS	C8972	CL033042
IHCH	C35417	C0345905
ODGC	C4812	C0334558
ACCC	C3768	C0206685
SKCN	C3944	C1318558
MMBC	C40364	C1513365
LYMPH	C13252	C0024202
LCLC	C4450	C0345958
STAS	C5474	C1333761
SCGBM	C125890	C1272516
COAD	C4349	C0338106
PGNT	C92554	C2985174
ESCC	C4024	C0279626
NLPHL	C7258	C1334968
FDCS	C9281	C1260325
EHAE	C3800	C0206732
EMBT	C3264	C0027654
READ	C9383	C0149978
CML	C3172	C0023470
CNC	C3791	C0206719
UCS	C42700	C0280630
IMMC	C9131	C1334807
MZL	C4341	C1367654
RAS	C93125	C2985448
SBWDNET	C9461	C1332564
MF	C7052	C1266121
MTSCC	C39807	C1513719
LIAS	C4438	C0345907
UCCC	C6344	C1332912
MP	C3110	C0020217
VYST	C6379	C1336945
HPCCNS	C4660	C0349622
SNUC	C54294	C1710096
HCCIHCH	C3828	C0221287
BREAST	C12971	C0006141
EGC	C9296	C1332166
MYXO	C6577	C0027149
LIAD	C3758	C0206669
DF	C6801	C0002991
CCLC	C4451	C1707407
ETT	C6900	C1266159
IMT	C6481	C0334121
DDCHDM	C48876	C1266174
SBC	C7724	C0238196
LUAD	C3512	C0152013
MXOV	C40090	C0279392
SLCT	C2880	C0003810
INTS	C53677	C1708550
UAD	C6167	C1336885
PROSTATE	C12410	C0033572
UCU		CL448335
HCC	C3099	C0019204
PLMESO	C9351	C1377913
COADREAD	C5105	C1319315
MPNST	C3798	C0751690
PTPR	C92624	C2985219
MPE	C3697	C0205769
CLNC	C6905	C1370507
DA	C7889	C0278804
PGNG	C3308	C0030421
HL	C9357	C0019829
MYCHS	C4303	C0334551
BONE	C12366	C0262950
IPMN	C38342	C1518869
MYEC	C35700	C1335904
BILIARY_TRACT	C12678	C0005423
CEGCC	C40212	C1516407
EMPD	C3302	C0030186
CHOS	C4021	C0279603
RLCLC	C6876	C1265997
CEMU	C26712	C0007130
PANET	C27720	C1337011
GINET	C95404	C2987127
SFT	C7634	C1266119
EPMT	C6770	C1333407
GCT	C3474	C0085167
HMBL	C3801	C0206734
PEOS	C8970	C1377843
SKAC	C3775	C0206697
HGSOS	C53958	C1266165
TLYM	C6810	C0349644
PNET	C3716	C0206663
DCS	C9294	C1334030
CCE	C4714	C1384404
PAST	C4047	C0334583
DFSP	C4683	C0392784
BCC	C2921	C0007117
THAP	C3878	C0238461
SKLMM	C9151	C2739810
TGCT	C3401	C0039106
PTCY	C94524	C2986550
UPECOMA	C40180	C1519862
SCRMS	C6519	C1266134
MCN	C41247	C1518872
GCCAP		C0205695
MACR	C43585	C1707439
