ONC000478	SKIN
ONC000479	ADPA
ONC000480	AFX
ONC000481	BCC
ONC000482	CSCC
ONC000483	DF
ONC000484	DFSP
ONC000485	DTE
ONC000486	EMPSGC
ONC000487	EMPD
ONC000488	MEL
ONC000489	ACRM
ONC000490	SKCM
ONC000491	DESM
ONC000492	GMUCM
ONC000493	SKLMM
ONC000494	MUP
ONC000495	SKCN
ONC000496	MCC
ONC000497	MAC
ONC000498	PORO
ONC000499	POCA
ONC000500	PCT
ONC000501	PPCT
ONC000502	SEBA
ONC000503	SKAC
ONC000504	SPIR
ONC000505	SGAD
ONC000506	AECA
ONC000507	SOFT_TISSUE
ONC000508	AA
ONC000509	ASPS
ONC000510	ANGS
ONC000511	CCS
ONC000512	DCS
ONC000513	FDCS
ONC000514	HDCS
ONC000515	IDCS
ONC000516	DES
ONC000517	DSRCT
ONC000518	EHAE
ONC000519	EPIS
ONC000520	PTES
ONC000521	FIBS
ONC000522	SEF
ONC000523	GIST
ONC000524	GS
ONC000525	HEMA
ONC000526	IMT
ONC000527	INTS
ONC000528	LMS
ONC000529	LIPO
ONC000530	DDLS
ONC000531	MRLS
ONC000532	PLLS
ONC000533	WDLS
ONC000534	LGFMS
ONC000535	MFH
ONC000536	MF
ONC000537	MPC
ONC000538	MFS
ONC000539	MYXO
ONC000540	OFMT
ONC000541	PGNG
ONC000542	PECOMA
ONC000543	PMHE
ONC000544	RAS
ONC000545	RMS
ONC000546	ARMS
ONC000547	ERMS
ONC000548	PLRMS
ONC000549	SCRMS
ONC000550	SCSRMS
ONC000551	RCSNOS
ONC000552	SARCNOS
ONC000553	SFT
ONC000554	STMYEC
ONC000555	SYNS
ONC000556	TGCT
ONC000557	TESTIS
ONC000558	NSGCT
ONC000559	TCCA
ONC000560	EMBCA
ONC000561	MGCT
ONC000562	TT
ONC000563	TMT
ONC000564	TYST
ONC000565	SEM
ONC000566	TSCST
ONC000567	TLYM
ONC000568	TMESO
ONC000569	THYMUS
ONC000570	TET
ONC000571	THYC
ONC000572	THYM
ONC000573	TNET
ONC000574	THYROID
ONC000575	THAP
ONC000576	THHC
ONC000577	HTAT
ONC000578	THME
ONC000579	THPD
ONC000580	WDTC
ONC000581	THFO
ONC000582	THPA
ONC000583	UTERUS
ONC000584	GTD
ONC000585	MP
ONC000586	CHM
ONC000587	IHM
ONC000588	PHM
ONC000589	UCCA
ONC000590	ETT
ONC000591	PSTT
ONC000592	UCEC
ONC000593	UPDC
ONC000594	UASC
ONC000595	UCS
ONC000596	UCCC
ONC000597	UDDC
ONC000598	UEC
ONC000599	UMNC
ONC000600	UMEC
ONC000601	UMC
ONC000602	UNEC
ONC000603	USC
ONC000604	UUC
ONC000605	OUTT
ONC000606	UUS
ONC000607	USARC
ONC000608	UAS
ONC000609	ESS
ONC000610	HGESS
ONC000611	LGESS
ONC000612	UPECOMA
ONC000613	OUSARC
ONC000614	USMT
ONC000615	ULM
ONC000616	ULMS
ONC000617	UELMS
ONC000618	UMLMS
ONC000619	USTUMP
ONC000620	VULVA
ONC000621	VGCT
ONC000622	VDYS
ONC000623	VOEC
ONC000624	VIMT
ONC000625	VMT
ONC000626	VMGCT
ONC000627	VPE
ONC000628	VYST
ONC000629	VMA
ONC000630	VMM
ONC000631	VSC
ONC000632	VA
ONC000633	VPDC
ONC000634	OTHER
ONC000635	AIS
ONC000636	CUP
ONC000637	ACN
ONC000638	ADNOS
ONC000639	CUPNOS
ONC000640	MIXED
ONC000641	NECNOS
ONC000642	NETNOS
ONC000643	PDC
ONC000644	SCUP
ONC000645	SCCNOS
ONC000646	UDMN
ONC000647	DASTR
ONC000648	GNOS
ONC000649	NSCHL
ONC000650	MCCHL
ONC000651	LRCHL
ONC000652	LDCHL
ONC000653	PTLD
